id,pincode,po_del,state,gen_del,latV,longV,isMetro,isSpecDest
222,518302,True,ANDHRAPRADESH,True,14.68888889,77.58533333,0,0
223,518395,True,ANDHRAPRADESH,True,15.5117222,78.4755833,0,0
224,518347,True,ANDHRAPRADESH,True,15.47658333,77.38902778,0,0
225,518348,True,ANDHRAPRADESH,False,15.33172222,77.15683333,0,0
226,518333,True,ANDHRAPRADESH,False,15.88733333,77.11955556,0,0
227,518346,True,ANDHRAPRADESH,False,15.48797222,77.04841667,0,0
228,518308,True,ANDHRAPRADESH,False,15.59269444,77.14452778,0,0
229,518350,True,ANDHRAPRADESH,False,15.68769444,77.48525,0,0
230,518344,True,ANDHRAPRADESH,False,15.77363889,77.13769444,0,0
231,518313,True,ANDHRAPRADESH,False,0.0,0.0,0,0
232,518345,True,ANDHRAPRADESH,True,15.5117222,78.4755833,0,0
233,518343,True,ANDHRAPRADESH,False,0.0,0.0,0,0
234,518396,True,ANDHRAPRADESH,False,15.28313889,77.28791667,0,0
235,518380,True,ANDHRAPRADESH,True,15.39302778,77.50408333,0,0
236,518323,True,ANDHRAPRADESH,False,15.74280556,77.30275,0,0
237,517415,True,ANDHRAPRADESH,True,13.2055529,78.746058,0,0
238,517416,True,ANDHRAPRADESH,True,13.1962,78.9133,0,0
239,517004,True,ANDHRAPRADESH,True,13.2271,79.12315,0,0
240,517002,False,ANDHRAPRADESH,True,13.1925,79.12315,0,0
241,517125,True,ANDHRAPRADESH,True,13.2331,79.1816,0,0
242,534461,True,ANDHRAPRADESH,False,17.0176,81.0519,0,0
243,534401,True,ANDHRAPRADESH,False,16.8063611,81.3172,0,0
244,534452,True,ANDHRAPRADESH,False,16.91688335,81.1675,0,0
245,523370,True,ANDHRAPRADESH,False,15.57,79.17,0,0
246,523332,True,ANDHRAPRADESH,False,15.65,79.21,0,0
247,523371,True,ANDHRAPRADESH,False,15.6386389,79.275,0,0
248,523372,True,ANDHRAPRADESH,False,15.52730555,78.965,0,0
249,523320,True,ANDHRAPRADESH,False,15.84,79.26,0,0
250,523326,True,ANDHRAPRADESH,True,16.02,79.49,0,0
251,523329,True,ANDHRAPRADESH,False,15.7423611,79.2,0,0
252,518135,True,ANDHRAPRADESH,False,15.2,78.4489722,0,0
253,518674,True,ANDHRAPRADESH,False,15.36829165,78.43,0,0
254,518134,False,ANDHRAPRADESH,True,15.2300556,78.35,0,0
255,518123,True,ANDHRAPRADESH,True,15.04,78.1,0,0
256,531118,False,ANDHRAPRADESH,False,17.7090284,82.586357,0,0
257,517643,True,ANDHRAPRADESH,False,13.618655,79.748611,0,0
258,533464,True,ANDHRAPRADESH,True,16.733144850000002,82.1873282,0,0
259,533430,True,ANDHRAPRADESH,True,17.2655,82.2223,0,0
260,517589,True,ANDHRAPRADESH,False,13.365086999999999,79.8101415,0,0
261,517590,True,ANDHRAPRADESH,True,13.32797,79.608917,0,0
262,517591,True,ANDHRAPRADESH,False,13.348226,79.6703715,0,0
263,517620,True,ANDHRAPRADESH,False,13.852846,79.57127349999999,0,0
264,535593,True,ANDHRAPRADESH,False,83.1568,18.6444,0,0
265,535125,True,ANDHRAPRADESH,False,83.6135,18.3049,0,0
266,535568,False,ANDHRAPRADESH,False,83.44800000000001,18.54635,0,0
267,535579,False,ANDHRAPRADESH,True,83.2828,18.4643,0,0
268,535591,False,ANDHRAPRADESH,True,83.1737,18.5356,0,0
269,535128,False,ANDHRAPRADESH,True,83.5816,18.37,0,0
270,535003,False,ANDHRAPRADESH,True,18.122495999999998,83.378271,0,0
271,535546,False,ANDHRAPRADESH,True,83.3675,18.676,0,0
272,535101,False,ANDHRAPRADESH,True,83.5133,18.292,0,0
273,524321,True,ANDHRAPRADESH,False,14.2919167,79.9696207,0,0
274,524407,True,ANDHRAPRADESH,False,14.177855050000002,79.70741945,0,0
275,524401,True,ANDHRAPRADESH,True,13.58809505,80.03364255,0,0
276,524415,True,ANDHRAPRADESH,False,14.0025471,80.0709439,0,0
277,524320,True,ANDHRAPRADESH,True,14.3229085,79.9234543,0,0
278,524132,False,ANDHRAPRADESH,True,13.9579167,79.581182,0,0
279,524413,True,ANDHRAPRADESH,False,14.0025511,80.0709399,0,0
280,524309,True,ANDHRAPRADESH,False,14.471904850000001,79.7323932,0,0
281,524402,True,ANDHRAPRADESH,False,14.15335,79.86805,0,0
282,517130,True,ANDHRAPRADESH,True,14.2205,77.9286,0,0
283,517128,False,ANDHRAPRADESH,False,14.4204,79.1205,0,0
284,517131,True,ANDHRAPRADESH,True,14.1559,77.9249,0,0
285,517432,True,ANDHRAPRADESH,True,13.1495,78.6763,0,0
286,516004,False,ANDHRAPRADESH,True,14.44751825,78.83198765,0,0
287,517640,False,ANDHRAPRADESH,True,13.751077,79.691848,0,0
288,517586,True,ANDHRAPRADESH,False,13.259198,79.7153465,0,0
289,517642,True,ANDHRAPRADESH,False,13.794627,79.734919,0,0
290,517587,True,ANDHRAPRADESH,True,13.4054237,79.7313685,0,0
291,517583,False,ANDHRAPRADESH,True,13.4416634,79.5536097,0,0
292,517588,True,ANDHRAPRADESH,True,13.450382999999999,79.9518595,0,0
293,517571,True,ANDHRAPRADESH,False,13.47575,79.544143,0,0
294,517641,True,ANDHRAPRADESH,True,13.713292,79.6598056,0,0
295,517541,True,ANDHRAPRADESH,True,13.611102,79.937479,0,0
296,517584,True,ANDHRAPRADESH,False,13.364705,79.5217125,0,0
297,517619,True,ANDHRAPRADESH,True,13.69555495,79.60259049999999,0,0
298,517561,True,ANDHRAPRADESH,False,13.623,79.42,0,0
299,517569,True,ANDHRAPRADESH,True,13.44,79.31,0,0
300,524347,True,ANDHRAPRADESH,False,14.33633,80.122619,0,0
301,515291,True,ANDHRAPRADESH,False,13.944,77.275,0,0
302,515261,True,ANDHRAPRADESH,False,13.8945,77.46955,0,0
303,515124,True,ANDHRAPRADESH,False,14.09,77.42,0,0
304,515110,False,ANDHRAPRADESH,True,14.0846,77.58855,0,0
305,515305,True,ANDHRAPRADESH,False,14.002009999999999,77.25785,0,0
306,515123,True,ANDHRAPRADESH,False,14.0945031,77.427158,0,0
307,515122,True,ANDHRAPRADESH,True,13.994158,77.5724813,0,0
308,533223,True,ANDHRAPRADESH,True,16.7013889,81.8893333,0,0
309,533254,True,ANDHRAPRADESH,False,16.7013889,81.8893333,0,0
310,534245,True,ANDHRAPRADESH,True,16.530399,81.639126,0,0
311,534126,True,ANDHRAPRADESH,True,16.621234,81.7286944,0,0
312,534123,True,ANDHRAPRADESH,True,16.617549945,81.81002289,0,0
313,534266,True,ANDHRAPRADESH,True,16.525869,81.84016667,0,0
314,534268,True,ANDHRAPRADESH,True,16.498265,81.78280556,0,0
315,534265,True,ANDHRAPRADESH,True,16.545356,81.720858,0,0
316,534338,True,ANDHRAPRADESH,True,16.58395,81.711,0,0
317,534250,True,ANDHRAPRADESH,True,16.52813889,81.688371,0,0
318,534281,True,ANDHRAPRADESH,True,16.401114999999997,81.57415449999999,0,0
319,534275,False,ANDHRAPRADESH,True,16.433526999999998,81.694969,0,0
320,534209,True,ANDHRAPRADESH,False,16.601844,81.56613889,0,0
321,533297,True,ANDHRAPRADESH,False,17.1756,81.9658,0,0
322,533296,False,ANDHRAPRADESH,True,17.03738,81.8770556,0,0
323,533354,True,ANDHRAPRADESH,False,17.263309,81.78336,0,0
324,533353,True,ANDHRAPRADESH,False,17.03738,81.93148,0,0
325,534467,True,ANDHRAPRADESH,False,17.1003,81.1173,0,0
326,523166,True,ANDHRAPRADESH,True,15.842086,80.392128,0,0
327,523168,True,ANDHRAPRADESH,True,15.8963197,80.3356735,0,0
328,524127,True,ANDHRAPRADESH,True,13.9299,80.04415,0,0
329,523101,True,ANDHRAPRADESH,True,15.250775,79.980812,0,0
330,523274,False,ANDHRAPRADESH,True,15.3413889,80.0160845,0,0
331,523292,True,ANDHRAPRADESH,False,15.135267500000001,79.9961285,0,0
332,523279,True,ANDHRAPRADESH,False,15.37884,79.956127,0,0
333,523116,True,ANDHRAPRADESH,False,15.165051,79.6960945,0,0
334,523272,True,ANDHRAPRADESH,True,15.445966,80.00509,0,0
335,523104,True,ANDHRAPRADESH,False,15.22328405,80.073688,0,0
336,523110,True,ANDHRAPRADESH,False,15.10347,79.520777,0,0
337,523112,True,ANDHRAPRADESH,True,15.162255,79.276091,0,0
338,523247,True,ANDHRAPRADESH,True,15.731581,79.657076,0,0
339,523246,True,ANDHRAPRADESH,False,15.551627,79.393361,0,0
340,523227,True,ANDHRAPRADESH,False,15.415581,79.36338,0,0
341,534280,True,ANDHRAPRADESH,True,16.410521,81.648029,0,0
342,534217,True,ANDHRAPRADESH,False,16.69839378,81.69934649999999,0,0
343,534330,True,ANDHRAPRADESH,False,16.703661500000003,81.776004,0,0
344,534218,True,ANDHRAPRADESH,False,16.754551,81.66426611,0,0
345,534227,True,ANDHRAPRADESH,False,16.798808835,81.7048815,0,0
346,534320,False,ANDHRAPRADESH,True,16.656704,81.74322222,0,0
347,534328,True,ANDHRAPRADESH,True,16.745919945,81.73661372000001,0,0
348,534324,True,ANDHRAPRADESH,True,16.5819879,81.7407087,0,0
349,523241,True,ANDHRAPRADESH,False,15.658784,79.478381,0,0
350,523304,True,ANDHRAPRADESH,True,15.878914,79.5725865,0,0
351,523223,True,ANDHRAPRADESH,False,15.2917173,79.36484544999999,0,0
352,523265,True,ANDHRAPRADESH,False,15.726625,79.709849,0,0
353,524404,True,ANDHRAPRADESH,False,13.7885,79.92179,0,0
354,524341,True,ANDHRAPRADESH,False,14.5200591,79.5673611,0,0
355,524406,True,ANDHRAPRADESH,False,14.1615215,79.8273479,0,0
356,524412,True,ANDHRAPRADESH,True,14.130907,79.8646705,0,0
357,534444,True,ANDHRAPRADESH,False,17.533822,81.1737824,0,0
358,534244,True,ANDHRAPRADESH,False,16.544085,81.567586,0,0
359,534236,True,ANDHRAPRADESH,False,16.481088,81.382215,0,0
360,524134,True,ANDHRAPRADESH,True,14.1066953,79.5512039,0,0
361,524414,True,ANDHRAPRADESH,False,14.2821389,79.5336367,0,0
362,524131,True,ANDHRAPRADESH,False,14.05320275,79.77210955,0,0
363,524410,True,ANDHRAPRADESH,True,14.09985,79.91303055,0,0
364,524409,True,ANDHRAPRADESH,False,14.179103,79.744331,0,0
365,524343,True,ANDHRAPRADESH,False,14.4398,79.392,0,0
366,524203,True,ANDHRAPRADESH,False,14.8915425,80.0265945,0,0
367,524201,False,ANDHRAPRADESH,True,14.9131667,79.9929722,0,0
368,523135,True,ANDHRAPRADESH,False,15.698071,80.237708,0,0
369,523165,False,ANDHRAPRADESH,True,15.812755,80.3341389,0,0
370,523187,False,ANDHRAPRADESH,True,15.7832778,80.3081389,0,0
371,533451,True,ANDHRAPRADESH,False,17.186804,82.271624,0,0
372,534146,True,ANDHRAPRADESH,False,16.82424925,81.60505595,0,0
373,522409,True,ANDHRAPRADESH,True,16.6784,80.12295835,0,0
374,522015,True,ANDHRAPRADESH,False,16.120012,80.357513,0,0
375,522017,True,ANDHRAPRADESH,True,16.235149,80.413656,0,0
376,522005,True,ANDHRAPRADESH,True,16.287419,80.370737,0,0
377,522235,True,ANDHRAPRADESH,True,16.067737899999997,80.33454,0,0
378,522019,True,ANDHRAPRADESH,True,16.200737,80.347071,0,0
379,522020,True,ANDHRAPRADESH,True,16.574761000000002,80.36158715,0,0
380,522502,True,ANDHRAPRADESH,True,16.450046049999997,80.5617504,0,0
381,522016,True,ANDHRAPRADESH,True,16.475996,80.3895158,0,0
382,522508,True,ANDHRAPRADESH,True,16.379958,80.517468,0,0
383,522303,True,ANDHRAPRADESH,True,16.427120000000002,80.6420536,0,0
384,522509,True,ANDHRAPRADESH,True,16.3401944,80.491037,0,0
